Date,Close,High,Low,Open,Volume,Log_Return
1/2/2018,1313.699951,1317.599976,1302.300049,1302.300049,68,
1/3/2018,1316.199951,1320.099976,1312.099976,1320,42,0.001901214
1/4/2018,1319.400024,1322,1319.400024,1319.400024,2,0.002428346
1/5/2018,1320.300049,1320.300049,1320.300049,1320.300049,1,0.000681914
1/8/2018,1318.599976,1319.900024,1314.599976,1319.900024,41,-0.001288471
1/9/2018,1311.699951,1311.699951,1309.599976,1309.599976,16,-0.005246581
1/10/2018,1317.400024,1320.699951,1315.300049,1320.300049,70,0.004336147
1/11/2018,1320.599976,1320.599976,1316.300049,1317.099976,9,0.002426045
1/12/2018,1333.400024,1338.199951,1327.800049,1327.800049,14,0.009645929
1/16/2018,1335.400024,1335.400024,1331,1331.099976,13,0.001498801
1/17/2018,1338,1338,1326.800049,1334.400024,27,0.001945071
1/18/2018,1326,1328.900024,1326,1328.900024,211,-0.00900907
1/19/2018,1331.900024,1333,1330.099976,1330.099976,50,0.004439621
1/22/2018,1330.900024,1330.900024,1328.400024,1328.400024,162,-0.000751089
1/23/2018,1335.699951,1335.900024,1335.699951,1335.800049,47,0.003600039
1/24/2018,1355.900024,1357.199951,1355.900024,1355.900024,18,0.015009996
1/25/2018,1362.400024,1362.400024,1346.699951,1356.300049,4,0.00478241
1/26/2018,1351.599976,1352,1350.900024,1351.599976,280546,-0.00795881
1/30/2018,1335.400024,1347.800049,1332.800049,1338.699951,52100,-0.012058167
1/31/2018,1339,1346.900024,1331.800049,1337.5,4881,0.002692176
2/1/2018,1344.300049,1350.599976,1336.800049,1343.800049,1680,0.003950401
2/2/2018,1333.699951,1352.099976,1327.699951,1348.5,2841,-0.00791647
2/5/2018,1333,1340.199951,1329,1331.099976,641,-0.000524957
2/6/2018,1326.099976,1343.699951,1319.5,1338.199951,529,-0.005189756
2/7/2018,1311.599976,1331.099976,1310.5,1325.400024,491,-0.010994538
2/8/2018,1316.900024,1321.099976,1307,1317.099976,459,0.004032761
2/9/2018,1313.099976,1322,1311.900024,1320.900024,451,-0.002889773
2/12/2018,1324.199951,1325.5,1318,1323.800049,140,0.008417731
2/13/2018,1328.099976,1329.599976,1323.400024,1324.5,71,0.002940864
2/14/2018,1355.5,1355.5,1324,1332.800049,400,0.020421059
2/15/2018,1352.099976,1355.900024,1349.699951,1352,111,-0.002511469
2/16/2018,1353.199951,1361.400024,1344.900024,1354,110,0.000813201
2/20/2018,1328.800049,1350.199951,1328.5,1348.400024,283,-0.018195806
2/21/2018,1330,1331.5,1324.400024,1326.800049,119,0.000902626
2/22/2018,1330.599976,1331.400024,1322,1322,70,0.000451008
2/23/2018,1328.199951,1332.099976,1327.699951,1328,427,-0.001805345
2/26/2018,1330.699951,1340.5,1330.699951,1335,652,0.001880478
2/27/2018,1315.5,1332.599976,1312.699951,1331.699951,710,-0.011488261
2/28/2018,1315.5,1321,1315.400024,1315.400024,58,0
3/1/2018,1302.900024,1318.099976,1301.800049,1310.400024,43,-0.009624254
3/2/2018,1321.099976,1323.199951,1314.300049,1314.300049,155,0.013872136
3/5/2018,1318.099976,1325.900024,1318.099976,1323.5,18,-0.002273417
3/6/2018,1333.599976,1333.599976,1321.400024,1321.599976,18,0.011690747
3/7/2018,1326,1338.099976,1326,1338.099976,27,-0.005715142
3/8/2018,1319.900024,1326.800049,1319.300049,1324.800049,62,-0.004610897
3/9/2018,1322.400024,1322.400024,1313,1316.800049,88,0.001892291
3/12/2018,1319.400024,1319.400024,1319.400024,1319.400024,0,-0.00227118
3/13/2018,1325.900024,1325.900024,1325.300049,1325.900024,13,0.004914386
3/14/2018,1324.400024,1324.400024,1322.199951,1322.199951,19,-0.001131947
3/15/2018,1316.800049,1316.800049,1316.800049,1316.800049,0,-0.005754957
3/16/2018,1311.300049,1311.300049,1310.099976,1310.099976,34,-0.004185539
3/19/2018,1316.800049,1316.900024,1307.300049,1309.400024,6,0.004185539
3/20/2018,1311.099976,1311.099976,1311.099976,1311.099976,4,-0.004338127
3/21/2018,1320.699951,1328.800049,1312.400024,1312.400024,34,0.007295401
3/22/2018,1326.599976,1326.599976,1326.599976,1326.599976,0,0.004457398
3/23/2018,1349.300049,1349.300049,1343.199951,1343.199951,8,0.016966716
3/26/2018,1354.400024,1354.400024,1345.099976,1348.5,10,0.003772594
3/27/2018,1341.300049,1341.300049,1341,1341,290889,-0.009719241
3/28/2018,1324.199951,1346.400024,1322.400024,1345,59284,-0.012830863
3/29/2018,1322.800049,1327.099976,1321.699951,1324,5585,-0.001057728
4/2/2018,1342.099976,1344.199951,1324.699951,1327,649,0.014484794
4/3/2018,1332.800049,1341.5,1328.5,1340.400024,702,-0.006953504
4/4/2018,1335.800049,1347.300049,1331.599976,1331.800049,718,0.002248371
4/5/2018,1324.300049,1333.699951,1322.599976,1333.5,258,-0.008646345
4/6/2018,1331.900024,1333,1319,1326.5,348,0.005722458
4/9/2018,1336.300049,1337.5,1327,1333,290,0.003298125
4/10/2018,1342,1342,1333,1335.199951,105,0.004256401
4/11/2018,1356.5,1365.400024,1340.099976,1340.099976,118,0.010746815
4/12/2018,1338.400024,1351.5,1334.599976,1351.199951,34,-0.013432964
4/13/2018,1344.800049,1346,1335.900024,1335.900024,67,0.00477045
4/16/2018,1347.5,1348.800049,1341,1341,60,0.002005684
4/17/2018,1347.199951,1348.099976,1339,1348,409,-0.000222696
4/18/2018,1351.199951,1354.199951,1343.5,1343.5,45,0.002964722
4/19/2018,1346.800049,1355.199951,1341.599976,1348.599976,387,-0.003261606
4/20/2018,1336.699951,1343.400024,1335.300049,1342.5,310,-0.007527591
4/23/2018,1322.5,1334.400024,1322.5,1334,68,-0.010679969
4/24/2018,1331.400024,1331.699951,1326.199951,1326.400024,28,0.006707154
4/25/2018,1321.199951,1325,1320,1324,278,-0.007690661
4/26/2018,1316.300049,1316.300049,1315.699951,1315.699951,569,-0.00371557
4/27/2018,1320.300049,1321.699951,1312.800049,1315.300049,622,0.003034213
4/30/2018,1316.199951,1316.199951,1309.599976,1309.599976,49,-0.003110261
5/1/2018,1303.800049,1313.800049,1303.400024,1313.199951,28,-0.009465645
5/2/2018,1302.599976,1309.300049,1302.599976,1309,23,-0.000920867
5/3/2018,1310.699951,1310.699951,1310.699951,1310.699951,4,0.00619906
5/4/2018,1312.699951,1312.699951,1312.699951,1312.699951,0,0.001524739
5/7/2018,1312.199951,1312.5,1310.199951,1310.599976,4,-0.000380967
5/8/2018,1312,1312,1308.5,1310.099976,337,-0.00015239
5/9/2018,1311.300049,1311.300049,1311.300049,1311.300049,70,-0.000533642
5/10/2018,1320.800049,1320.800049,1312.199951,1312.199951,8,0.007218602
5/11/2018,1319,1319,1319,1319,3,-0.001363777
5/14/2018,1316.5,1319.900024,1316.5,1319.900024,4,-0.001897174
5/15/2018,1288.900024,1304.699951,1288.900024,1304.599976,8,-0.02118754
5/16/2018,1290.199951,1294,1285.400024,1290.900024,26,0.001008047
5/17/2018,1288.199951,1291.300049,1288.199951,1291.300049,2,-0.00155135
5/18/2018,1290.199951,1290.199951,1285.199951,1285.199951,2,0.00155135
5/21/2018,1290.199951,1292.099976,1287.400024,1287.400024,52,0
5/22/2018,1291.699951,1291.699951,1291.699951,1291.699951,50,0.001161935
5/23/2018,1289.300049,1289.300049,1289.300049,1289.300049,10,-0.001859669
5/24/2018,1303.699951,1303.699951,1303.699951,1303.699951,0,0.011106865
5/25/2018,1303.300049,1303.300049,1303.300049,1303.300049,1,-0.000306791
5/29/2018,1298.699951,1298.699951,1298.699951,1298.699951,386334,-0.00353582
5/30/2018,1301.5,1303.699951,1295.199951,1298,50845,0.002153719
5/31/2018,1300.099976,1306.800049,1296.599976,1301,4082,-0.00107628
6/1/2018,1294.800049,1299.5,1288.900024,1298.599976,663,-0.004084885
6/4/2018,1293.099976,1297.099976,1290,1293.900024,144,-0.001313863
6/5/2018,1297.5,1299.800049,1289.900024,1292.099976,357,0.003396919
6/6/2018,1297.099976,1300.400024,1294.099976,1296.099976,373,-0.000308352
6/7/2018,1298.699951,1302.800049,1296.199951,1298.400024,79,0.001232742
6/8/2018,1298.099976,1299.400024,1294.800049,1295.300049,650,-0.000462088
6/11/2018,1298.900024,1302,1295.199951,1299.300049,71,0.000616133
6/12/2018,1295.099976,1298.099976,1292.699951,1297.800049,153,-0.002929878
6/13/2018,1296.900024,1299.400024,1290.900024,1294,135,0.001388927
6/14/2018,1304,1307.699951,1297.199951,1297.199951,42,0.005459643
6/15/2018,1274.599976,1307.699951,1274,1297.199951,589,-0.022804079
6/18/2018,1276.199951,1280.699951,1276.199951,1280.699951,35,0.001254489
6/19/2018,1275.599976,1281.800049,1269.900024,1278.699951,34,-0.000470237
6/20/2018,1271.199951,1274.400024,1271.199951,1274.400024,7,-0.003455339
6/21/2018,1267.199951,1268.900024,1260,1262.699951,46,-0.003151594
6/22/2018,1267.400024,1270.199951,1267,1268.099976,74,0.000157874
6/25/2018,1265.599976,1271.199951,1265.599976,1270.599976,37,-0.001421278
6/26/2018,1256.599976,1267.199951,1256.599976,1267.199951,89,-0.007136657
6/27/2018,1252.800049,1255.5,1252.300049,1255.5,1162,-0.003028556
6/28/2018,1247.800049,1251.699951,1244.800049,1251.699951,378,-0.003999045
6/29/2018,1251.300049,1253.300049,1249.099976,1250.300049,48,0.00280101
7/2/2018,1239.800049,1249.900024,1239.800049,1249.900024,29,-0.009232934
7/3/2018,1251.599976,1254.099976,1237,1238.099976,36,0.009472598
7/5/2018,1257.300049,1257.300049,1253.599976,1255.5,9,0.00454389
7/6/2018,1254.300049,1255.5,1254.300049,1255.5,7,-0.002388916
7/9/2018,1258.099976,1262.300049,1257.699951,1258.199951,37,0.00302494
7/10/2018,1253.800049,1256.900024,1249.300049,1256.199951,65,-0.003423648
7/11/2018,1242.800049,1253.199951,1242.800049,1253.199951,30,-0.008812041
7/12/2018,1245,1246.699951,1240.900024,1240.900024,7,0.001768592
7/13/2018,1239.599976,1247,1239.599976,1244.699951,2,-0.004346803
7/16/2018,1238.099976,1243.800049,1238.099976,1242.699951,2,-0.001210801
7/17/2018,1225.699951,1225.699951,1225.699951,1225.699951,0,-0.010065857
7/18/2018,1226.300049,1226.699951,1222.199951,1226.699951,67,0.000489476
7/19/2018,1222.400024,1228,1211.699951,1227.199951,33,-0.003185386
7/20/2018,1229.5,1229.5,1229.5,1229.5,0,0.005791423
7/23/2018,1224,1224,1222,1222,1,-0.004483399
7/24/2018,1223.900024,1223.900024,1223.900024,1223.900024,0,-8.17E-05
7/25/2018,1231.400024,1231.400024,1231.400024,1231.400024,0,0.006109252
7/26/2018,1225.300049,1227.800049,1225.300049,1227.800049,1,-0.004966001
7/27/2018,1222.599976,1222.599976,1222.599976,1222.599976,254428,-0.002206033
7/30/2018,1221.300049,1223.900024,1218.099976,1222.5,62239,-0.001063813
7/31/2018,1223.699951,1228.099976,1213,1220.400024,2722,0.001963111
8/1/2018,1217.900024,1223.699951,1214.400024,1222.900024,1026,-0.004750932
8/2/2018,1210.599976,1219.300049,1205.800049,1214.699951,411,-0.006012
8/3/2018,1214.199951,1218.599976,1205.099976,1206.5,784,0.002969299
8/6/2018,1208.599976,1214.400024,1206.599976,1214.400024,297,-0.004622739
8/7/2018,1209.599976,1214.800049,1207.800049,1207.800049,715,0.000827062
8/8/2018,1212.599976,1215.199951,1205.900024,1212,209,0.002477088
8/9/2018,1211.900024,1215.300049,1211.599976,1214.5,44,-0.000577398
8/10/2018,1211.099976,1216.400024,1205.599976,1212.5,75,-0.000660379
8/13/2018,1191.300049,1207.400024,1191.300049,1207,78,-0.016483829
8/14/2018,1193,1197.5,1192.800049,1193.099976,92,0.001425954
8/15/2018,1177.5,1188.099976,1174.599976,1187.800049,71,-0.013077596
8/16/2018,1176.199951,1180.199951,1161.400024,1173.199951,123,-0.001104685
8/17/2018,1176.5,1181.199951,1174.699951,1174.699951,66,0.000255068
8/20/2018,1186.800049,1190,1184.400024,1184.800049,68,0.008716721
8/21/2018,1192.599976,1192.599976,1189.800049,1189.800049,22,0.004875127
8/22/2018,1196.300049,1196.300049,1194.699951,1194.699951,17,0.003097724
8/23/2018,1187,1190.300049,1184.900024,1189.300049,95,-0.007804385
8/24/2018,1206.300049,1208,1185.300049,1185.300049,12,0.016128748
8/27/2018,1209,1211.400024,1205.199951,1210.300049,154,0.002235708
8/28/2018,1207.400024,1217,1202.300049,1209.699951,136,-0.001324264
8/29/2018,1204.5,1205.199951,1202.400024,1205.199951,817,-0.002404765
8/30/2018,1197.699951,1205.599976,1196,1205.400024,493,-0.005661533
8/31/2018,1200.300049,1208.199951,1199.099976,1207.099976,191,0.002168556
9/4/2018,1192.699951,1193.800049,1189.900024,1193.800049,26,-0.006351963
9/5/2018,1194.900024,1196,1192.5,1192.5,21,0.001842917
9/6/2018,1197.900024,1202,1197.900024,1202,7,0.002507524
9/7/2018,1193.599976,1198.300049,1193.099976,1198.300049,29,-0.003596114
9/10/2018,1193,1193,1193,1193,11,-0.000502787
9/11/2018,1195.400024,1196.300049,1190.400024,1190.400024,21,0.002009735
9/12/2018,1204.699951,1205,1204.699951,1205,37,0.007749655
9/13/2018,1202,1203.400024,1200,1203.400024,22,-0.002243697
9/14/2018,1195,1195,1195,1195,1,-0.005840651
9/17/2018,1199.699951,1199.699951,1199.699951,1199.699951,0,0.003925299
9/18/2018,1196.800049,1198.699951,1196.800049,1198.699951,2,-0.002420116
9/19/2018,1202.199951,1202.199951,1202.199951,1202.199951,0,0.004501802
9/20/2018,1206.199951,1206.199951,1206.199951,1206.199951,0,0.003321711
9/21/2018,1196.199951,1196.199951,1196.199951,1196.199951,0,-0.008325057
9/24/2018,1199.300049,1199.300049,1199.300049,1199.300049,0,0.002588269
9/25/2018,1200,1202.800049,1200,1202.099976,21,0.000583463
9/26/2018,1194,1194,1194,1194,17857,-0.005012542
9/27/2018,1182.300049,1197.300049,1180.5,1194.599976,4947,-0.00984728
9/28/2018,1191.5,1191.900024,1180,1181.699951,404,0.007751282
10/1/2018,1187.099976,1191.599976,1185.800049,1191.599976,180,-0.00369968
10/2/2018,1202.400024,1206,1190.300049,1193,451,0.012806242
10/3/2018,1198.300049,1202.599976,1196.599976,1202.599976,76,-0.003415653
10/4/2018,1197.199951,1204.599976,1197.199951,1199.300049,496,-0.00091847
10/5/2018,1201.199951,1205.300049,1196.900024,1197.099976,34,0.00333556
10/8/2018,1184.400024,1201,1183.699951,1201,250,-0.014084679
10/9/2018,1187.199951,1189.099976,1185.599976,1185.599976,9,0.002361214
10/10/2018,1189.300049,1192,1189.300049,1189.300049,1078,0.001767388
10/11/2018,1223.5,1224.599976,1196.300049,1198.099976,126,0.028350664
10/12/2018,1218.099976,1221.599976,1216,1221.599976,122,-0.004423356
10/15/2018,1226.400024,1232.300049,1222.400024,1222.400024,136,0.006790821
10/16/2018,1227.300049,1230.5,1227.099976,1227.099976,426,0.000733606
10/17/2018,1223.699951,1225.900024,1223.699951,1225.900024,1,-0.002937658
10/18/2018,1226.5,1226.5,1226.5,1226.5,165,0.002285569
10/19/2018,1225.300049,1225.300049,1225.300049,1225.300049,55,-0.000978833
10/22/2018,1221.199951,1224.5,1219.599976,1224.5,18,-0.00335181
10/23/2018,1233.400024,1237.800049,1224.800049,1224.800049,33,0.009940661
10/24/2018,1227.800049,1231.599976,1227.800049,1231.599976,36,-0.004550614
10/25/2018,1229.099976,1238.599976,1229.099976,1238.599976,7,0.001058185
10/26/2018,1232.5,1234.800049,1232.5,1234.300049,20,0.002762453
10/29/2018,1224.5,1224.5,1224.5,1224.5,214,-0.00651203
10/30/2018,1222.599976,1227.699951,1219.800049,1227.699951,72,-0.001552879
10/31/2018,1212.300049,1216.599976,1212,1216,121,-0.008460297
11/1/2018,1236,1236,1215.400024,1215.400024,14,0.019360937
11/2/2018,1230.900024,1233.300049,1230.900024,1233.300049,18,-0.00413473
11/5/2018,1229.800049,1231.5,1226.699951,1230.599976,15,-0.000894035
11/6/2018,1223.800049,1233.800049,1223.800049,1230.699951,4,-0.004890782
11/7/2018,1226.199951,1228.599976,1226.199951,1228.599976,1,0.001959105
11/8/2018,1222.900024,1222.900024,1222.900024,1222.900024,2,-0.002694809
11/9/2018,1206.400024,1207.900024,1206.400024,1207.900024,14,-0.013584369
11/12/2018,1201.300049,1201.599976,1201.300049,1201.599976,1,-0.004236394
11/13/2018,1199.199951,1201.300049,1196.300049,1196.300049,5,-0.001749717
11/14/2018,1207.900024,1207.900024,1207.900024,1207.900024,0,0.007228708
11/15/2018,1212.800049,1212.800049,1212.800049,1212.800049,0,0.004048441
11/16/2018,1220.800049,1223.800049,1216.699951,1216.699951,5,0.006574645
11/19/2018,1223.099976,1223.099976,1223.099976,1223.099976,0,0.001882178
11/20/2018,1219,1228.800049,1219,1225.300049,12,-0.003357749
11/21/2018,1225.800049,1225.800049,1225.800049,1225.800049,0,0.005562881
11/23/2018,1221,1224.800049,1221,1224.800049,1,-0.003923537
11/26/2018,1220.199951,1222,1220.199951,1220.199951,2,-0.000655455
11/27/2018,1211.199951,1222,1211.199951,1221.900024,5,-0.007403176
11/28/2018,1221.400024,1221.400024,1211.5,1211.5,247168,0.008386198
11/29/2018,1224.099976,1228.699951,1220.5,1221,55478,0.002208098
11/30/2018,1220.199951,1225,1216.099976,1224.099976,2060,-0.00319112
12/3/2018,1233.900024,1234.099976,1221.300049,1222.5,751,0.011165165
12/4/2018,1241.099976,1241.400024,1230.400024,1231,474,0.005818159
12/6/2018,1238.099976,1244.400024,1234.800049,1237.5,434,-0.002420137
12/7/2018,1246.800049,1249.800049,1237.599976,1238.300049,211,0.007002381
12/10/2018,1243.699951,1249.599976,1241.699951,1249.599976,131,-0.00248954
12/11/2018,1241.900024,1248.699951,1241.5,1245.800049,117,-0.001448284
12/12/2018,1244.400024,1245.599976,1244.099976,1245.300049,84,0.002011021
12/13/2018,1242.699951,1243.5,1241,1243.5,194,-0.001367113
12/14/2018,1237,1241.699951,1234.099976,1241.699951,33,-0.004597299
12/17/2018,1247.400024,1247.400024,1239.300049,1239.300049,10,0.008372311
12/18/2018,1249.199951,1249.199951,1245.599976,1248.199951,31,0.001441903
12/19/2018,1252.099976,1255.800049,1252.099976,1255.800049,268,0.002318815
12/20/2018,1263.599976,1263.599976,1243.199951,1243.199951,49,0.009142648
12/21/2018,1253.800049,1261.300049,1253.800049,1260.300049,96,-0.007785792
12/24/2018,1267.5,1268.5,1260.300049,1260.300049,27,0.010867478
12/26/2018,1269.199951,1277.400024,1269.199951,1269.300049,63,0.001340286
12/27/2018,1277.300049,1277.300049,1276.699951,1276.699951,480,0.006361771
12/28/2018,1279.900024,1280.099976,1273.5,1273.5,805,0.002033456
12/31/2018,1278.300049,1281.300049,1277.599976,1278,19,-0.001250861
1/2/2019,1281,1286,1277.599976,1286,149,0.002109915
1/3/2019,1291.800049,1292,1286.699951,1286.800049,10,0.00839561
1/4/2019,1282.699951,1294.199951,1275.300049,1294.199951,34,-0.007069439
1/7/2019,1286.800049,1286.800049,1286.599976,1286.800049,2,0.003191361
1/8/2019,1283.199951,1283.199951,1278.199951,1280.5,54,-0.002801634
1/9/2019,1289.300049,1289.300049,1279.199951,1279.400024,102,0.004742553
1/10/2019,1284.699951,1284.699951,1284.699951,1284.699951,0,-0.003574283
1/11/2019,1287.099976,1291.199951,1286.300049,1291.199951,11,0.001866417
1/14/2019,1289.099976,1293.900024,1289.099976,1292.400024,7,0.001552675
1/15/2019,1286.199951,1292.699951,1286.199951,1290.099976,3,-0.002252185
1/16/2019,1291.599976,1291.599976,1291.599976,1291.599976,2,0.004189644
1/17/2019,1291,1292.699951,1288.5,1291.599976,10,-0.000464629
1/18/2019,1281.300049,1281.300049,1281.300049,1281.300049,3,-0.007541886
1/22/2019,1282.5,1283.300049,1282.5,1282.5,7,0.000936072
1/23/2019,1283.099976,1283.900024,1278.699951,1281.699951,14,0.000467708
1/24/2019,1279.099976,1279.099976,1278.5,1279.099976,1,-0.003122319
1/25/2019,1297.400024,1297.400024,1297.400024,1297.400024,0,0.014205594
1/28/2019,1302.400024,1307.099976,1298.400024,1300.800049,54,0.003846454
1/29/2019,1308.199951,1308.199951,1308.199951,1308.199951,213607,0.004443374
1/30/2019,1309.900024,1323.400024,1308.099976,1310.400024,54958,0.001298708
1/31/2019,1319.699951,1325.400024,1316.699951,1320,1970,0.007453584
2/1/2019,1316.900024,1320.699951,1315.400024,1320.300049,878,-0.002123893
2/4/2019,1314.300049,1318.099976,1308.300049,1318.099976,675,-0.001976267
2/5/2019,1314.199951,1315.099976,1311,1311.099976,362,-7.62E-05
2/6/2019,1309.5,1313.5,1305,1312.5,358,-0.003582693
2/7/2019,1309.400024,1310.400024,1302.199951,1302.900024,203,-7.63E-05
2/8/2019,1313.699951,1314,1307.800049,1309.5,122,0.003278511
2/11/2019,1307,1313.400024,1304.699951,1313.400024,119,-0.005113112
2/12/2019,1309.199951,1312,1307.599976,1310,109,0.001681792
2/13/2019,1310.800049,1316,1308.099976,1311.599976,143,0.001221449
2/14/2019,1309.800049,1311.800049,1301.599976,1305,858,-0.000763184
2/15/2019,1318.099976,1318.800049,1313.599976,1313.599976,190,0.006316796
2/19/2019,1340.099976,1340.099976,1320.5,1320.900024,390,0.016552933
2/20/2019,1343.300049,1344,1338,1342.199951,581,0.00238509
2/21/2019,1323.5,1334.900024,1320.900024,1331.300049,414,-0.014849567
2/22/2019,1329.199951,1331.300049,1321,1324.199951,718,0.004297478
2/25/2019,1325.900024,1331.599976,1325.599976,1329.199951,185,-0.002485728
2/26/2019,1325.099976,1325.5,1323.300049,1323.300049,939,-0.000603583
2/27/2019,1317.699951,1327.900024,1316.5,1327.699951,604,-0.005600154
2/28/2019,1312.800049,1323.699951,1311.5,1321.099976,141,-0.003725458
3/1/2019,1296.400024,1312.199951,1288.900024,1312.199951,110,-0.012571087
3/4/2019,1284.800049,1287,1281.900024,1285.5,28,-0.008988109
3/5/2019,1282,1287,1282,1287,114,-0.002181744
3/6/2019,1284.900024,1287.099976,1282.599976,1287.099976,14,0.002259555
3/7/2019,1283.800049,1284.599976,1281,1281,11,-0.000856445
3/8/2019,1297,1297.400024,1291.599976,1292.099976,10,0.010229437
3/11/2019,1288.800049,1291,1288.800049,1291,9,-0.006342315
3/12/2019,1296.300049,1296.300049,1294.699951,1294.699951,1,0.0058025
3/13/2019,1307.5,1307.5,1307.5,1307.5,0,0.008602827
3/14/2019,1293.400024,1293.400024,1293.400024,1293.400024,1,-0.010842488
3/15/2019,1301.800049,1304.699951,1300.5,1300.900024,26,0.006473531
3/18/2019,1300.300049,1302.199951,1297.300049,1297.300049,8,-0.001152915
3/19/2019,1305,1306.900024,1304.800049,1306.900024,20,0.003607996
3/20/2019,1300.5,1300.699951,1300.5,1300.699951,2,-0.003454235
3/21/2019,1306.099976,1306.099976,1306.099976,1306.099976,0,0.004296773
3/22/2019,1311.599976,1311.599976,1311.599976,1311.599976,0,0.004202168
3/25/2019,1321.900024,1322.900024,1320.699951,1320.699951,19,0.007822367
3/26/2019,1314.300049,1315.599976,1314.300049,1315.599976,1,-0.005765872
3/27/2019,1309.900024,1309.900024,1309.900024,1309.900024,206263,-0.003353425
3/28/2019,1289.800049,1311.099976,1287.699951,1308.400024,87798,-0.015463612
3/29/2019,1293,1298.5,1286.099976,1289.599976,1265,0.002477894
4/1/2019,1288.400024,1295.900024,1285.699951,1291.800049,675,-0.003563942
4/2/2019,1290,1290.900024,1284.5,1286.300049,525,0.001241061
4/3/2019,1289.900024,1293.099976,1287.5,1291.400024,172,-7.75E-05
4/4/2019,1289,1292.599976,1279.5,1290.599976,269,-0.000697991
4/5/2019,1290.400024,1292,1283.599976,1292,181,0.001085543
4/8/2019,1297.099976,1302.099976,1291.800049,1292.199951,63,0.005178718
4/9/2019,1303.5,1304.900024,1298.5,1298.5,30,0.00492197
4/10/2019,1309.099976,1309.099976,1301.5,1304,66,0.004286905
4/11/2019,1288.599976,1307.099976,1288.599976,1307,420,-0.015783521
4/12/2019,1290.599976,1293.400024,1289.199951,1293.400024,607,0.001550869
4/15/2019,1286.800049,1287.300049,1282.300049,1284.800049,523,-0.002948653
4/16/2019,1272.599976,1285.199951,1272.199951,1285.199951,643,-0.011096522
4/17/2019,1272.199951,1273.5,1271.599976,1273.5,308,-0.000314386
4/18/2019,1271.900024,1273.599976,1270.099976,1270.800049,27,-0.000235782
4/22/2019,1273.5,1273.5,1273.5,1273.5,147,0.001257151
4/23/2019,1269.300049,1269.800049,1266,1266.400024,206,-0.00330341
4/24/2019,1275.5,1275.5,1267.800049,1268.400024,518,0.004872653
4/25/2019,1275.800049,1280.800049,1275.800049,1280.599976,95,0.000235212
4/26/2019,1284.900024,1284.900024,1284.900024,1284.900024,804,0.007107442
4/29/2019,1278.599976,1284.900024,1277.099976,1284.800049,568,-0.004915203
4/30/2019,1282.800049,1283.300049,1280.800049,1281.699951,114,0.003279517
5/1/2019,1281.400024,1283.300049,1278.699951,1278.699951,70,-0.001091978
5/2/2019,1269.699951,1270.800049,1266.599976,1269.199951,63,-0.009172636
5/3/2019,1279.199951,1279.199951,1270.099976,1270.099976,15,0.007454231
5/6/2019,1281.699951,1282.199951,1280.300049,1282.199951,12,0.001952439
5/7/2019,1283.5,1283.5,1280.5,1280.5,8,0.001403438
5/8/2019,1279.400024,1279.400024,1279.400024,1279.400024,5,-0.003199484
5/9/2019,1283.5,1285,1278.800049,1278.900024,38,0.003199484
5/10/2019,1285.699951,1286.5,1283.300049,1285.400024,6,0.001712558
5/13/2019,1300.099976,1300.099976,1281.800049,1286.699951,56,0.011137887
